class_name,class_description,score,path,rank
n03717622,manhole_cover,0.021454276517033577,ArlesBM1.jpg,7
n04476259,tray,0.01958932727575302,ArlesBM1.jpg,8
n04330267,stove,0.017798131331801414,ArlesBM1.jpg,9
n02747177,ashcan,0.015800505876541138,ArlesBM1.jpg,10
n02769748,backpack,0.015779681503772736,ArlesBM1.jpg,11
n04099969,rocking_chair,0.01565428450703621,ArlesBM1.jpg,12
n03710193,mailbox,0.015223562717437744,ArlesBM1.jpg,13
n03598930,jigsaw_puzzle,0.01328489650040865,ArlesBM1.jpg,14
n04192698,shield,0.01258228998631239,ArlesBM1.jpg,15
n03467068,guillotine,0.009856532327830791,ArlesBM1.jpg,16
n04461696,tow_truck,0.009067931212484837,ArlesBM1.jpg,17
n04550184,wardrobe,0.007769475225359201,ArlesBM1.jpg,18
n03109150,corkscrew,0.007565716747194529,ArlesBM1.jpg,19
n04429376,throne,0.007561680860817432,ArlesBM1.jpg,20
n03498962,hatchet,0.006287969183176756,ArlesBM1.jpg,21
n03393912,freight_car,0.005348709877580404,ArlesBM1.jpg,22
n03599486,jinrikisha,0.005296617280691862,ArlesBM1.jpg,23
n03146219,cuirass,0.005223656073212624,ArlesBM1.jpg,24
n03376595,folding_chair,0.004895237740129232,ArlesBM1.jpg,25
n02699494,altar,0.8171138763427734,Arsenal590.jpg,1
n03347037,fire_screen,0.03862142190337181,Arsenal590.jpg,2
n02892201,brass,0.017725296318531036,Arsenal590.jpg,3
n02840245,binder,0.014985485933721066,Arsenal590.jpg,4
n04429376,throne,0.014662910252809525,Arsenal590.jpg,5
n04418357,theater_curtain,0.012956543825566769,Arsenal590.jpg,6
n06596364,comic_book,0.010799911804497242,Arsenal590.jpg,7
n04476259,tray,0.0090591199696064,Arsenal590.jpg,8
n03998194,prayer_rug,0.007394352927803993,Arsenal590.jpg,9
n03666591,lighter,0.005839075427502394,Arsenal590.jpg,10
n04550184,wardrobe,0.004394176881760359,Arsenal590.jpg,11
n04523525,vault,0.004386699292808771,Arsenal590.jpg,12
n03717622,manhole_cover,0.00334964063949883,Arsenal590.jpg,13
n03028079,church,0.002947551663964987,Arsenal590.jpg,14
n07248320,book_jacket,0.002769631566479802,Arsenal590.jpg,15
n03014705,chest,0.002247575204819441,Arsenal590.jpg,16
n04243546,slot,0.002216051798313856,Arsenal590.jpg,17
n03938244,pillow,0.0018059052526950836,Arsenal590.jpg,18
n04486054,triumphal_arch,0.0016971186269074678,Arsenal590.jpg,19
n03598930,jigsaw_puzzle,0.0016959207132458687,Arsenal590.jpg,20
n03908618,pencil_box,0.0016554620815441012,Arsenal590.jpg,21
n03032252,cinema,0.001553159556351602,Arsenal590.jpg,22
n04548362,wallet,0.0014848426217213273,Arsenal590.jpg,23
n02910353,buckle,0.001323921955190599,Arsenal590.jpg,24
n03781244,monastery,0.001269549480639398,Arsenal590.jpg,25
n03998194,prayer_rug,0.8209050893783569,Arsenal593.jpg,1
n03347037,fire_screen,0.04836820065975189,Arsenal593.jpg,2
n02699494,altar,0.04157659411430359,Arsenal593.jpg,3
n04476259,tray,0.0167513657361269,Arsenal593.jpg,4
n07248320,book_jacket,0.011877545155584812,Arsenal593.jpg,5
n03223299,doormat,0.009904376231133938,Arsenal593.jpg,6
n04423845,thimble,0.009007739834487438,Arsenal593.jpg,7
n03485794,handkerchief,0.008638600818812847,Arsenal593.jpg,8
n04532106,vestment,0.0043459744192659855,Arsenal593.jpg,9
n04589890,window_screen,0.003310546511784196,Arsenal593.jpg,10
n03903868,pedestal,0.0026770022232085466,Arsenal593.jpg,11
n03781244,monastery,0.0021409462206065655,Arsenal593.jpg,12
n04192698,shield,0.0019681830890476704,Arsenal593.jpg,13
n03938244,pillow,0.0018280307995155454,Arsenal593.jpg,14
n04523525,vault,0.0017092274501919746,Arsenal593.jpg,15
n03733281,maze,0.0011760586639866233,Arsenal593.jpg,16
n03291819,envelope,9.883262682706118e-4,Arsenal593.jpg,17
n03742115,medicine_chest,8.8510662317276e-4,Arsenal593.jpg,18
n04033995,quilt,8.01237067207694e-4,Arsenal593.jpg,19
n04525038,velvet,6.568520911969244e-4,Arsenal593.jpg,20
n04550184,wardrobe,6.4421899151057e-4,Arsenal593.jpg,21
n03598930,jigsaw_puzzle,6.284212577156723e-4,Arsenal593.jpg,22
n03666591,lighter,6.268987781368196e-4,Arsenal593.jpg,23
n04599235,wool,5.213244003243744e-4,Arsenal593.jpg,24
n03014705,chest,4.7020683996379375e-4,Arsenal593.jpg,25
